BIB,Name,Country,Gender,Division,Swim,Bike,Run,Overall,Division Rank,Gender Rank,Overall Rank,T1,T2
1419,"Artyushenko, Pavel",KAZ,Male,M40-44,01:00:23,05:08:27,03:41:48,09:58:31,81,480,524,00:03:06,00:04:47
1870,"Mudek, David",USA,Male,M35-39,01:10:35,05:16:18,03:25:12,09:58:32,109,481,525,00:03:16,00:03:11
1205,"Joseland, Malcolm",AUS,Male,M45-49,01:05:35,05:13:37,03:31:42,09:58:42,50,482,526,00:03:56,00:03:52
1448,"Callegari, Massimo",ITA,Male,M40-44,01:01:39,05:11:09,03:39:15,09:58:42,82,482,526,00:02:27,00:04:12
784,"Van hamme, Hugo",BEL,Male,M55-59,01:05:19,05:19:05,03:25:38,09:58:46,3,484,528,00:04:14,00:04:30
1096,"Allen, Richard",GBR,Male,M45-49,01:09:18,05:18:06,03:22:55,09:58:48,51,485,529,00:03:47,00:04:42
2365,"Renouf, Katherine",GBR,Female,F25-29,00:53:40,05:32:42,03:27:08,09:59:07,3,45,530,00:02:58,00:02:39
1755,"Backstrom, Richard",SWE,Male,M35-39,01:07:06,05:04:36,03:39:18,09:59:17,110,486,531,00:04:01,00:04:16
1590,"Peiretti, Javier",ARG,Male,M40-44,01:00:05,05:06:09,03:46:16,09:59:24,83,487,532,00:02:49,00:04:05
1269,"Podziewski, Arkadiusz",POL,Male,M45-49,01:11:14,05:00:18,03:40:18,09:59:29,52,488,533,00:03:40,00:03:59
2114,"Pellerin, Elliot-Olivier",CAN,Male,M30-34,01:02:25,04:59:39,03:48:00,09:59:31,104,489,534,00:04:31,00:04:56
1516,"Harding, Wayne",AUS,Male,M40-44,00:54:28,05:13:39,03:42:02,09:59:33,84,490,535,00:04:53,00:04:31
2098,"Miranda, Jordi",ESP,Male,M30-34,01:03:05,05:36:11,03:10:46,09:59:42,105,491,536,00:03:53,00:05:47
1366,"Kukrus, Valentina",RUS,Female,F45-49,01:06:25,05:28:09,03:17:58,09:59:46,3,46,537,00:03:34,00:03:40
1255,"Otavio ribeiro cruz filho, Jose",BRA,Male,M45-49,01:08:33,05:15:04,03:26:24,09:59:46,53,492,537,00:04:55,00:04:50
996,"Schulz, Hans Peter",DEU,Male,M50-54,01:01:17,05:10:37,03:40:58,09:59:49,18,493,539,00:03:33,00:03:24
2073,"Kawaoka, Elliot",JPN,Male,M30-34,01:01:31,05:23:00,03:26:25,09:59:50,106,494,540,00:03:13,00:05:41
1868,"Moratiel, Cristian",ESP,Male,M35-39,00:52:58,05:27:08,03:31:12,10:00:00,111,495,541,00:03:42,00:05:00
1253,"Okyay, Mustafa",DEU,Male,M45-49,01:05:46,05:09:06,03:35:10,10:00:04,54,496,542,00:05:10,00:04:52
2013,"Aguilar bustillos, Juan Manuel",MEX,Male,M30-34,01:12:12,05:28:50,03:11:55,10:00:06,107,497,543,00:03:12,00:03:57
778,"Trauger, Thomas",USA,Male,M55-59,01:02:33,05:09:00,03:41:39,10:00:07,4,498,544,00:03:35,00:03:20
1748,"Andrea, Miasciarelli",ITA,Male,M35-39,01:07:02,04:58:43,03:46:41,10:00:26,112,499,545,00:04:13,00:03:47
1494,"Fuchs, Andreas",AUT,Male,M40-44,00:59:19,04:44:27,04:11:00,10:00:30,85,500,546,00:02:29,00:03:15
1635,"Targoni, Pawel",POL,Male,M40-44,01:03:54,05:20:23,03:26:16,10:00:35,86,501,547,00:03:39,00:06:23
1163,"Furuya, Koji",JPN,Male,M45-49,01:03:30,05:07:56,03:39:11,10:00:35,55,501,547,00:04:07,00:05:51
1317,"Vesty, Brendon",NZL,Male,M45-49,01:06:11,04:55:21,03:50:59,10:00:50,56,503,549,00:03:31,00:04:48
1488,"Fogarty, Quentin",NZL,Male,M40-44,00:59:08,05:04:52,03:47:23,10:01:10,87,504,550,00:04:37,00:05:10
2281,"Lukoschek, Leonhard",DEU,Male,M25-29,00:57:21,05:27:49,03:25:56,10:01:11,64,505,551,00:02:14,00:07:51
1686,"Gadient, Georgina",CHE,Female,F40-44,01:07:07,05:10:50,03:35:29,10:01:14,1,47,552,00:04:12,00:03:36
2207,"Morgan, Helen",AUS,Female,F30-34,01:16:51,05:22:47,03:14:56,10:01:17,10,48,553,00:03:47,00:02:56
1782,"Corredor, David",ESP,Male,M35-39,01:01:40,05:10:17,03:33:58,10:01:26,113,506,554,00:04:20,00:11:11
2381,"Blanchart, Daniel",ESP,Male,M18-24,01:01:00,05:16:11,03:36:00,10:01:37,17,507,555,00:03:04,00:05:22
1629,"Strobel, Otto",DEU,Male,M40-44,01:00:25,05:04:00,03:48:05,10:01:38,88,508,556,00:04:01,00:05:07
1435,"Bonnet, Rudy",FRA,Male,M40-44,01:24:54,04:58:48,03:27:26,10:01:43,89,509,557,00:05:55,00:04:40
2272,"Khalamanov, Alexander",RUS,Male,M25-29,00:53:02,04:55:52,04:07:16,10:01:43,65,509,557,00:02:37,00:02:56
2417,"Vogt, Philippe",CHE,Male,M18-24,01:04:35,05:03:39,03:46:36,10:01:46,18,511,559,00:02:30,00:04:26
1788,"De cuyper, Leslie",BEL,Male,M35-39,01:14:49,05:09:09,03:29:29,10:01:50,114,512,560,00:04:34,00:03:49
1284,"Salentin, Uli",DEU,Male,M45-49,00:57:10,05:10:36,03:43:04,10:01:51,57,513,561,00:05:19,00:05:42
1019,"Vandamme, Stephane",BEL,Male,M50-54,01:08:16,05:19:35,03:27:41,10:02:12,19,514,562,00:03:34,00:03:06
1556,"Loiola, Rodrigo",BRA,Male,M40-44,01:10:33,05:12:00,03:31:39,10:02:21,90,515,563,00:02:59,00:05:10
2388,"Frandsen, Oliver",DNK,Male,M18-24,01:05:55,05:17:54,03:32:27,10:02:26,19,516,564,00:02:42,00:03:28
1278,"Rodriguez paez, Sergio",ESP,Male,M45-49,01:07:39,05:17:50,03:28:45,10:02:29,58,517,565,00:02:55,00:05:20
978,"Prevost, Erwan",ZAF,Male,M50-54,01:02:08,05:04:05,03:49:10,10:02:37,20,518,566,00:03:14,00:04:00
1555,"Llorca barbera, Juan Damasceno",ESP,Male,M40-44,01:05:07,05:06:32,03:42:34,10:02:39,91,519,567,00:03:35,00:04:51
1220,"Lack, Ian",AUS,Male,M45-49,01:03:28,05:15:11,03:36:37,10:02:40,59,520,568,00:03:24,00:04:00
2144,"Sousa, Lisandro",BRA,Male,M30-34,01:09:55,05:07:38,03:39:04,10:02:46,108,521,569,00:02:41,00:03:28
1261,"Paul, Carlo",GBR,Male,M45-49,01:03:01,05:26:53,03:23:33,10:02:52,60,522,570,00:05:20,00:04:05
1781,"Cordle, Robert",AUS,Male,M35-39,01:01:38,05:07:12,03:45:47,10:03:01,115,523,571,00:03:47,00:04:37
1319,"Wallimann, Patrick",CHE,Male,M45-49,01:02:36,05:18:21,03:30:20,10:03:10,61,524,572,00:03:21,00:08:32
1140,"Daily, Michael",USA,Male,M45-49,01:09:41,05:13:24,03:31:21,10:03:12,62,525,573,00:04:31,00:04:15
1129,"Chu, Tobias",HKG,Male,M45-49,00:55:03,05:18:40,03:41:08,10:03:16,63,526,574,00:03:24,00:05:01
950,"Mcclarnon, Paul",AUS,Male,M50-54,01:13:21,05:08:34,03:31:44,10:03:22,21,527,575,00:05:27,00:04:16
2397,"Lang, Peter",DEU,Male,M18-24,00:59:33,05:15:22,03:40:21,10:03:24,20,528,576,00:04:13,00:03:55
2007,"Walsh, Maggie",USA,Female,F35-39,00:56:12,05:16:29,03:42:56,10:03:25,2,49,577,00:03:50,00:03:58
892,"Durif, Pierre",FRA,Male,M50-54,01:09:48,05:11:43,03:35:15,10:03:26,22,529,578,00:03:51,00:02:49
992,"Rushby, Mark",IRL,Male,M50-54,01:20:55,05:16:47,03:16:10,10:03:29,23,530,579,00:05:02,00:04:35
2118,"Pla, Bastien",FRA,Male,M30-34,01:06:48,04:58:23,03:51:14,10:03:29,109,530,579,00:03:57,00:03:07
1625,"Spurzem, Oliver",DEU,Male,M40-44,01:03:20,05:28:14,03:22:58,10:03:34,92,532,581,00:03:19,00:05:43
1633,"Swinarski, Maciej",POL,Male,M40-44,01:15:33,05:04:32,03:35:17,10:03:36,93,533,582,00:03:40,00:04:34
421,"Matuschka, Ash",NZL,Male,M30-34,01:01:25,05:11:00,03:44:45,10:03:37,110,534,583,00:03:12,00:03:15
1521,"Hobi, Sam",USA,Male,M40-44,01:06:16,05:12:40,03:35:04,10:03:48,94,535,584,00:03:29,00:06:19
1227,"Lilloni, Patrice",FRA,Male,M45-49,01:02:00,05:03:45,03:50:36,10:03:54,64,536,585,00:03:44,00:03:49
1826,"Izzard, Kephren",AUS,Male,M35-39,01:00:03,05:23:07,03:32:07,10:03:57,116,537,586,00:03:32,00:05:08
1756,"Barcus, Matt",USA,Male,M35-39,01:09:43,05:25:56,03:22:05,10:04:09,117,538,587,00:02:25,00:04:00
1586,"Papi, Dany",LUX,Male,M40-44,01:12:01,05:07:53,03:34:53,10:04:22,95,539,588,00:04:55,00:04:40
1106,"Barahona de andres, Fernando",ESP,Male,M45-49,01:09:44,05:19:46,03:24:09,10:04:24,65,540,589,00:04:19,00:06:26
1957,"Esefeld, Katrin",DEU,Female,F35-39,01:08:41,05:24:05,03:25:14,10:04:25,3,50,590,00:03:06,00:03:19
1880,"Pereira iglesias, Ivan",ESP,Male,M35-39,01:08:04,05:01:03,03:46:04,10:04:28,118,541,591,00:04:11,00:05:06
1818,"Hale, Sean",USA,Male,M35-39,00:59:20,05:06:17,03:51:37,10:04:28,118,541,591,00:03:15,00:03:59
1234,"Malivanek, Roman",CZE,Male,M45-49,01:09:56,05:17:25,03:28:26,10:04:29,66,543,593,00:02:54,00:05:48
1103,"Arregi, Aitzol",ESP,Male,M45-49,01:08:44,05:19:47,03:26:56,10:04:37,67,544,594,00:03:30,00:05:40
1415,"Andzejewicz, Brian",USA,Male,M40-44,01:16:57,05:11:01,03:25:14,10:04:42,96,545,595,00:04:41,00:06:49
1544,"Kuvvet, Muzaffer",TUR,Male,M40-44,01:05:34,05:09:58,03:38:41,10:04:42,96,545,595,00:04:16,00:06:13
1654,"Weber, Michael",DEU,Male,M40-44,01:13:15,05:21:30,03:22:44,10:04:44,98,547,597,00:03:34,00:03:41
1012,"Tomkinson, Chris",CAN,Male,M50-54,01:02:11,05:13:05,03:40:30,10:04:47,24,548,598,00:04:03,00:04:58
2124,"Ros, Niels",NLD,Male,M30-34,01:13:20,04:58:22,03:41:44,10:04:50,111,549,599,00:06:04,00:05:20
1652,"Waniewski, Marcin",POL,Male,M40-44,01:03:40,05:18:33,03:35:12,10:05:08,99,550,600,00:03:00,00:04:43
1752,"Ascani, Jorge",ARG,Male,M35-39,01:06:30,05:04:37,03:44:42,10:05:18,120,551,601,00:03:17,00:06:12
856,"Bachar, Amir",ISR,Male,M50-54,00:59:01,05:14:04,03:45:04,10:05:22,25,552,602,00:03:55,00:03:18
1162,"Francke, Henrik",DNK,Male,M45-49,01:10:12,05:10:28,03:33:16,10:05:33,68,553,603,00:05:54,00:05:43
1819,"Hansen, David",USA,Male,M35-39,01:02:20,04:58:54,03:54:43,10:05:41,121,554,604,00:03:59,00:05:45
2271,"Kellerer, Niklas",DEU,Male,M25-29,01:06:45,05:12:00,03:37:47,10:05:44,66,555,605,00:04:07,00:05:05
1847,"Lenehan, John",IRL,Male,M35-39,01:02:45,05:24:26,03:27:16,10:05:46,122,556,606,00:06:38,00:04:41
2168,"Zsinor, Gabor",HUN,Male,M30-34,01:04:36,05:13:56,03:39:25,10:05:50,112,557,607,00:03:03,00:04:50
1551,"Lima, Alan",BRA,Male,M40-44,01:04:03,05:02:26,03:52:16,10:05:55,100,558,608,00:03:43,00:03:27
1293,"Schutjes, Alain",BEL,Male,M45-49,01:07:17,05:14:00,03:31:55,10:06:15,69,559,609,00:05:55,00:07:08
1336,"Barclay, Natasja",NZL,Female,F45-49,00:59:36,05:27:01,03:31:49,10:06:23,4,51,610,00:03:51,00:04:06
1836,"Kosmowski, Michal",POL,Male,M35-39,01:08:35,05:18:49,03:33:29,10:06:28,123,560,611,00:02:56,00:02:39
3042,"Steurer, Bianca",AUT,Female,FPRO,01:04:32,05:19:49,03:35:43,10:06:31,30,52,612,00:02:11,00:04:16
1243,"Migliore, Michael",FRA,Male,M45-49,01:06:27,05:02:13,03:50:37,10:06:31,70,561,612,00:02:54,00:04:20
1854,"Marcolino, Eduardo",BRA,Male,M35-39,00:58:52,05:15:34,03:44:07,10:06:38,124,562,614,00:03:16,00:04:49
1614,"Serebryakov, Andrey",RUS,Male,M40-44,01:04:45,05:25:56,03:27:45,10:06:41,101,563,615,00:04:16,00:03:59
915,"Hayes, Bill",AUS,Male,M50-54,01:12:22,05:12:05,03:35:42,10:06:56,26,564,616,00:02:49,00:03:58
2355,"Mcculloch, Kaileen",CAN,Female,F25-29,01:01:49,05:30:25,03:27:09,10:06:58,4,53,617,00:03:17,00:04:18
1482,"Facey, Tim",AUS,Male,M40-44,01:01:41,05:21:34,03:33:41,10:07:06,102,565,618,00:05:13,00:04:57
1176,"Greschner, Ronny",DEU,Male,M45-49,01:14:16,05:23:42,03:22:28,10:07:07,71,566,619,00:03:15,00:03:26
592,"Fergusson, Kevin",AUS,Male,M60-64,01:00:56,05:13:27,03:45:39,10:07:08,1,567,620,00:03:13,00:03:53
990,"Rowley, Tim",CAN,Male,M50-54,01:04:30,05:21:55,03:28:49,10:07:12,27,568,621,00:05:19,00:06:39
749,"Mumford, Mark",USA,Male,M55-59,01:11:57,05:07:09,03:36:36,10:07:16,5,569,622,00:05:50,00:05:44
1460,"Corff, Brian",USA,Male,M40-44,01:03:25,05:19:59,03:36:27,10:07:18,103,570,623,00:03:18,00:04:09
1421,"Balague cava, Ricard",ESP,Male,M40-44,01:04:05,05:19:15,03:33:00,10:07:26,104,571,624,00:03:31,00:07:35
775,"Tanaka, Takeshi",JPN,Male,M55-59,01:04:35,05:40:15,03:15:03,10:07:30,6,572,625,00:03:08,00:04:29
2136,"Schneider, Robin",DEU,Male,M30-34,00:51:58,04:54:12,04:12:20,10:07:32,113,573,626,00:02:27,00:06:35
1235,"Martin, Owen",IRL,Male,M45-49,01:08:07,05:02:11,03:44:42,10:07:45,72,574,627,00:05:09,00:07:36
2134,"Schertel, Thomas",DEU,Male,M30-34,00:59:05,05:05:40,03:54:16,10:07:45,114,574,627,00:03:31,00:05:13
1541,"Kovalovsky, Jan",CZE,Male,M40-44,01:02:30,05:04:14,03:54:38,10:07:50,105,576,629,00:02:42,00:03:46
986,"Rojas calvo, Pascal",FRA,Male,M50-54,01:01:15,05:25:43,03:31:40,10:08:02,28,577,630,00:04:15,00:05:09
1152,"Drosdowski, Andreas",DEU,Male,M45-49,01:07:49,05:21:01,03:29:34,10:08:06,73,578,631,00:03:31,00:06:11
2053,"Grala, Nicholas",USA,Male,M30-34,01:09:18,05:13:57,03:36:42,10:08:07,115,579,632,00:04:02,00:04:08
1573,"Nagel, Daniel",NLD,Male,M40-44,01:00:42,05:06:58,03:50:22,10:08:21,106,580,633,00:03:47,00:06:32
1584,"Overfjord, Daniel",SWE,Male,M40-44,01:13:30,05:31:49,03:11:54,10:08:36,107,581,634,00:04:23,00:07:00
1832,"Kepka, Marcin",POL,Male,M35-39,01:12:59,05:08:09,03:40:36,10:08:36,125,581,634,00:03:09,00:03:43
1446,"Byram, Scott",USA,Male,M40-44,01:09:11,04:59:12,03:47:57,10:08:37,108,583,636,00:06:34,00:05:43
860,"Breault, Ted",USA,Male,M50-54,01:05:08,05:32:27,03:21:19,10:08:43,29,584,637,00:03:57,00:05:52
1236,"Martin-guibert, Frederic",FRA,Male,M45-49,01:03:24,05:24:28,03:31:09,10:08:48,74,585,638,00:04:10,00:05:37
1216,"Kovac, Tomaz",SVN,Male,M45-49,01:02:55,05:28:03,03:28:25,10:09:05,75,586,639,00:03:41,00:06:01
2288,"O'neil, Brian",USA,Male,M25-29,00:51:01,05:10:54,03:59:57,10:09:06,67,587,640,00:02:31,00:04:43
1979,"Mathews, Nikkola",NZL,Female,F35-39,01:01:57,05:16:56,03:43:18,10:09:07,4,54,641,00:04:07,00:02:49
2111,"Pacholak, Marcin",POL,Male,M30-34,01:04:07,05:18:04,03:38:46,10:09:08,116,588,642,00:04:03,00:04:08
1862,"Mccollum, Kane",NZL,Male,M35-39,01:01:50,05:17:38,03:38:08,10:09:10,126,589,643,00:04:39,00:06:55
1229,"Gerini, Loris",ITA,Male,M45-49,01:05:58,05:10:51,03:44:17,10:09:16,76,590,644,00:04:39,00:03:31
1491,"Forster, Marco",DEU,Male,M40-44,01:10:12,04:58:51,03:50:01,10:09:21,109,591,645,00:05:19,00:04:58
1104,"Asquinazi, Sebastian",ARG,Male,M45-49,00:58:18,05:13:52,03:50:11,10:09:32,77,592,646,00:03:37,00:03:34
1254,"Orrit, David",CHE,Male,M45-49,01:02:05,05:20:42,03:37:23,10:09:35,78,593,647,00:04:07,00:05:18
1300,"Smith, Craig",AUS,Male,M45-49,01:08:07,05:12:52,03:39:32,10:09:35,78,593,647,00:03:55,00:05:09
1028,"Wittmershaus, Horst",DEU,Male,M50-54,01:08:18,05:06:15,03:47:44,10:09:35,30,593,647,00:03:00,00:04:18
2386,"Dillon, Lachie",AUS,Male,M18-24,01:06:04,05:11:16,03:45:53,10:09:37,21,596,650,00:03:38,00:02:46
2012,"Acuna, Aaron",USA,Male,M30-34,00:58:48,05:24:33,03:37:04,10:09:39,117,597,651,00:05:29,00:03:45
1655,"Weschler, Marco",DEU,Male,M40-44,01:00:45,05:14:50,03:45:41,10:09:43,110,598,652,00:02:58,00:05:29
1221,"Lacko, Roman",GBR,Male,M45-49,01:16:31,05:04:02,03:40:19,10:10:12,80,599,653,00:03:18,00:06:02
1503,"Gennari, Gustavo",BRA,Male,M40-44,01:04:17,05:30:15,03:28:06,10:10:16,111,600,654,00:03:22,00:04:16
1952,"Clark, Corrine",GBR,Female,F35-39,01:03:01,05:25:14,03:36:24,10:10:30,5,55,655,00:02:39,00:03:12
1426,"Barrero duran, Miguel",ESP,Male,M40-44,01:10:36,05:14:10,03:38:37,10:10:32,112,601,656,00:03:25,00:03:44
1186,"Hauger, Tobias",DEU,Male,M45-49,01:11:42,05:13:40,03:36:57,10:10:34,81,602,657,00:04:47,00:03:28
1585,"Palmer, Stephen",GBR,Male,M40-44,01:09:45,05:13:24,03:37:33,10:10:38,113,603,658,00:02:46,00:07:10
1443,"Bronstein, Dan",RUS,Male,M40-44,01:09:08,05:21:47,03:31:08,10:10:39,114,604,659,00:03:47,00:04:49
2205,"Mcinturff, Alison",USA,Female,F30-34,00:55:22,05:20:12,03:48:04,10:10:39,11,56,659,00:03:37,00:03:24
1107,"Barthe, Nicolas",FRA,Male,M45-49,01:00:46,05:23:28,03:37:00,10:10:48,82,605,661,00:04:36,00:04:58
1549,"Leder, Felix",DEU,Male,M40-44,01:07:47,05:03:55,03:50:44,10:10:57,115,606,662,00:02:30,00:06:01
895,"Faas, Oliver",DEU,Male,M50-54,01:11:29,05:24:05,03:23:59,10:10:59,31,607,663,00:05:16,00:06:10
1515,"Han, Matthew",USA,Male,M40-44,01:08:05,05:07:42,03:41:43,10:10:59,116,607,663,00:08:02,00:05:27
1542,"Kronbuegel, Martin",DEU,Male,M40-44,01:10:20,05:09:59,03:37:53,10:11:05,117,609,665,00:06:12,00:06:41
2043,"Fox, Kyle",USA,Male,M30-34,01:03:16,04:55:56,04:05:46,10:11:07,118,610,666,00:03:33,00:02:36
1105,"Ayestaran, Imanol",ESP,Male,M45-49,01:11:08,05:22:00,03:28:47,10:11:21,83,611,667,00:05:44,00:03:42
2286,"Mears, Rob",NZL,Male,M25-29,01:06:59,05:02:36,03:53:18,10:11:24,68,612,668,00:04:01,00:04:30
1113,"Blomberg, Erik B:son",SWE,Male,M45-49,01:02:31,05:21:28,03:41:27,10:11:31,84,613,669,00:03:04,00:03:01
1841,"Lawrence, Matt",GBR,Male,M35-39,00:59:21,05:07:12,03:55:51,10:11:32,127,614,670,00:03:37,00:05:31
1603,"Rozalski, Piotr",POL,Male,M40-44,01:04:47,05:17:24,03:42:51,10:11:33,118,615,671,00:02:58,00:03:33
1579,"Oliveira, Flavio",BRA,Male,M40-44,01:06:15,05:20:07,03:39:21,10:11:40,119,616,672,00:02:30,00:03:27
1427,"Bastos, Adriano",BRA,Male,M40-44,01:08:18,05:36:26,03:18:57,10:11:44,120,617,673,00:04:02,00:04:01
1283,"Rutherford, Paul",IRL,Male,M45-49,01:07:56,05:04:08,03:51:08,10:11:51,85,618,674,00:04:20,00:04:19
1569,"Mcleod, Shay",NZL,Male,M40-44,01:10:36,05:15:57,03:36:29,10:11:56,121,619,675,00:04:09,00:04:45
1146,"Desruisseaux, Carl",CAN,Male,M45-49,01:02:54,05:14:08,03:48:12,10:12:05,86,620,676,00:02:47,00:04:04
851,"Antoniak, Marek",EST,Male,M50-54,01:18:10,05:12:13,03:33:16,10:12:11,32,621,677,00:04:08,00:04:24
2022,"Billikopf, Philip",CHL,Male,M30-34,01:06:52,05:21:45,03:33:40,10:12:16,119,622,678,00:04:23,00:05:36
1476,"Dondlinger, Thierry",LUX,Male,M40-44,01:15:05,05:22:38,03:24:35,10:12:17,122,623,679,00:04:53,00:05:06
1232,"Mackert, Alexander",DEU,Male,M45-49,01:04:56,05:27:13,03:32:50,10:12:21,87,624,680,00:03:55,00:03:27
1011,"Thomas, Paul",GBR,Male,M50-54,01:03:30,05:22:58,03:36:50,10:12:31,33,625,681,00:04:30,00:04:43
1600,"Ridge, Todd",AUS,Male,M40-44,01:04:18,05:22:22,03:38:20,10:12:33,123,626,682,00:03:43,00:03:50
2295,"Pini, Nicola",CHE,Male,M25-29,01:06:44,05:02:09,03:55:11,10:12:35,69,627,683,00:04:38,00:03:53
1984,"Ottevaere, Charlene",BEL,Female,F35-39,01:04:05,05:35:39,03:23:36,10:12:44,6,57,684,00:04:24,00:05:00
867,"Burke, Rich",USA,Male,M50-54,01:09:37,05:14:32,03:38:39,10:12:50,34,628,685,00:05:03,00:04:59
1274,"Reyes arciga, Jose Marcos",MEX,Male,M45-49,01:03:10,05:21:13,03:35:37,10:12:52,88,629,686,00:07:04,00:05:48
431,"Vajda, Viktor",USA,Male,M25-29,01:16:26,05:24:47,03:19:41,10:12:55,70,630,687,00:05:40,00:06:21
2001,"Thomas, Sarah",AUS,Female,F35-39,01:06:45,05:32:42,03:28:53,10:13:03,7,58,688,00:02:16,00:02:27
1632,"Svensson, Jonas",SWE,Male,M40-44,01:11:26,05:25:55,03:28:27,10:13:10,124,631,689,00:03:52,00:03:30
1838,"Krugener, Frank",DEU,Male,M35-39,01:09:07,04:53:28,04:00:44,10:13:32,128,632,690,00:04:41,00:05:32
1440,"Brassel, Jorg",CHE,Male,M40-44,01:10:51,05:13:37,03:39:12,10:13:34,125,633,691,00:03:36,00:06:18
1912,"Tavares, Rodrigo",BRA,Male,M35-39,00:57:20,05:09:32,03:57:43,10:13:34,129,633,691,00:03:38,00:05:21
1128,"Christen, Pirmin",CHE,Male,M45-49,01:04:12,04:53:15,04:10:51,10:13:38,89,635,693,00:02:24,00:02:56
1475,"Donaldson, Scott",AUS,Male,M40-44,00:58:38,05:30:37,03:33:56,10:13:42,126,636,694,00:05:55,00:04:36
2031,"Conejeros, Manuel",CHL,Male,M30-34,01:01:34,05:10:01,03:54:32,10:13:43,120,637,695,00:03:02,00:04:34
1989,"Rametta, Liis",EST,Female,F35-39,01:15:37,05:26:12,03:25:01,10:13:45,8,59,696,00:04:03,00:02:52
2228,"Ando, Noriyuki",JPN,Male,M25-29,00:57:02,05:36:20,03:32:43,10:13:59,71,638,697,00:03:49,00:04:05
1784,"Cunha, Daniel",BRA,Male,M35-39,01:13:15,05:08:24,03:45:40,10:14:02,130,639,698,00:03:28,00:03:15
1469,"Densa, Domen",SVN,Male,M40-44,01:00:21,05:19:26,03:44:15,10:14:05,127,640,699,00:03:38,00:06:25
1518,"Hautle, Michael",CHE,Male,M40-44,01:03:52,05:03:56,03:59:15,10:14:13,128,641,700,00:03:01,00:04:09
1271,"Prochazka, Roman",CZE,Male,M45-49,01:15:23,05:03:36,03:46:52,10:14:24,90,642,701,00:03:13,00:05:20
1202,"Jaros, Zbysek",CZE,Male,M45-49,01:03:00,05:13:33,03:50:16,10:14:24,90,642,701,00:03:30,00:04:05
1618,"Silva, Pedro Rui Almeida",PRT,Male,M40-44,01:17:37,05:08:10,03:39:52,10:14:27,129,644,703,00:04:50,00:03:58
1567,"Matonti, Mathew",GBR,Male,M40-44,01:21:24,05:19:24,03:27:39,10:14:36,130,645,704,00:03:01,00:03:08
1257,"Pasnon, Frederic",FRA,Male,M45-49,01:07:37,05:26:45,03:33:17,10:14:46,92,646,705,00:03:37,00:03:30
1201,"Jansson, Tobias",SWE,Male,M45-49,01:09:56,05:23:33,03:32:59,10:14:49,93,647,706,00:03:57,00:04:24
1896,"Sajulga, Felipe Iii",PHL,Male,M35-39,01:14:16,05:21:28,03:31:06,10:15:02,131,648,707,00:03:54,00:04:18
628,"Schweiger, Wilhelm",DEU,Male,M60-64,01:12:12,05:15:26,03:39:26,10:15:05,2,649,708,00:03:33,00:04:28
703,"Diepold, Josef",DEU,Male,M55-59,01:09:22,05:12:33,03:43:29,10:15:13,7,650,709,00:04:19,00:05:30
919,"Hill, Paul",NZL,Male,M50-54,01:05:54,05:18:35,03:42:23,10:15:18,35,651,710,00:04:31,00:03:55
1245,"Miller, Brian",USA,Male,M45-49,00:56:13,05:24:37,03:47:42,10:15:25,94,652,711,00:03:42,00:03:11
1552,"Linder, Magnus",SWE,Male,M40-44,01:09:01,05:13:27,03:44:21,10:15:26,131,653,712,00:03:40,00:04:57
906,"Glazbrook, Michael",AUS,Male,M50-54,01:02:39,05:20:52,03:41:46,10:15:35,36,654,713,00:04:08,00:06:10
2152,"Thelwell, John",GBR,Male,M30-34,00:59:15,04:45:32,04:22:38,10:15:42,121,655,714,00:03:11,00:05:06
2211,"Obmann, Gabriele Maria",AUT,Female,F30-34,01:07:15,05:18:13,03:44:01,10:15:43,12,60,715,00:03:14,00:03:00
1285,"Santos, Matias",ARG,Male,M45-49,01:02:29,05:19:08,03:46:12,10:15:45,95,656,716,00:04:22,00:03:34
1966,"Hachmeister, Ericka",USA,Female,F35-39,01:06:45,05:26:17,03:35:44,10:15:46,9,61,717,00:04:07,00:02:53
605,"Kogoj, Igor",SVN,Male,M60-64,00:59:44,05:35:26,03:33:22,10:15:49,3,657,718,00:03:22,00:03:55
2270,"Keene, Jessop",USA,Male,M25-29,01:15:26,05:11:36,03:37:30,10:15:49,72,657,718,00:05:14,00:06:03
1763,"Bowe, Phil",AUS,Male,M35-39,01:08:01,05:25:31,03:35:54,10:16:03,132,659,720,00:03:04,00:03:33
998,"Selukov, Arnaud",FRA,Male,M50-54,01:01:43,05:21:28,03:44:56,10:16:06,37,660,721,00:03:42,00:04:17
3016,"Brandon, Lauren",USA,Female,FPRO,00:49:08,05:11:20,04:10:13,10:16:10,31,62,722,00:02:14,00:03:15
1281,"Roigard, mike",NZL,Male,M45-49,01:10:42,05:11:17,03:46:38,10:16:11,96,661,723,00:04:45,00:02:49
2320,"Wernecke, Connor",USA,Male,M25-29,00:55:10,05:00:24,04:12:26,10:16:11,73,661,723,00:03:06,00:05:05
2145,"Souza, William",BRA,Male,M30-34,01:00:50,05:13:09,03:54:05,10:16:19,122,663,725,00:03:15,00:05:00
2067,"Jedrasiewicz, Pawel",POL,Male,M30-34,01:23:18,05:15:29,03:27:48,10:16:22,123,664,726,00:02:46,00:07:01
2339,"Freeman, Emily",GBR,Female,F25-29,00:58:00,05:40:26,03:31:09,10:16:22,5,63,726,00:03:34,00:03:13
